17.5103,20.5192,0,0,0,0.663418,0.748249,0,1
17.51,20.5137,0,0,0,0.264346,0.964428,0,1
17.5148,20.5113,0,0,0,-0.131805,0.991276,0,1
17.532,20.4865,0,0,0,-0.554006,0.832513,0,1
17.5158,20.0991,0,0,0,-0.837271,0.546788,0,1
16.9916,19.6127,0,0,0,-0.986477,0.163897,0,1
16.0229,19.2826,0,0,0,-0.987578,0.157131,0,1
15.1072,18.8468,0,0,0,-0.968993,0.247089,0,1
14.156,18.24,0,0,0,-0.957407,0.288743,0,1
13.2746,17.6648,0,0,0,-0.956216,0.292661,0,1
12.4482,17.0935,0,0,0,-0.941878,0.335954,0,1
12.3456,17.0209,0,0,0,0.989536,0.144284,0,1
12.3488,17.0182,0,0,0,0.854869,0.518844,0,1
